split,seed,condition,metric,score,n_eval
GeneID,2,robust,lexical_no_path,0.0,100
GeneID,2,robust,counterfactual,0.89,100
GeneID,2,abstain,clean,0.58,100
GeneID,2,abstain,distractor_5,0.31,100
GeneID,2,abstain,hard_no_path,1.0,100
GeneID,2,abstain,lexical_no_path,1.0,100
GeneID,2,abstain,counterfactual,0.64,100
GeneID,3,oracle,clean,1.0,100
GeneID,3,oracle,distractor_5,1.0,100
GeneID,3,oracle,hard_no_path,1.0,100
GeneID,3,oracle,lexical_no_path,1.0,100
GeneID,3,oracle,counterfactual,1.0,100
GeneID,3,base,clean,0.05,100
GeneID,3,base,distractor_5,0.02,100
GeneID,3,base,hard_no_path,1.0,100
GeneID,3,base,lexical_no_path,1.0,100
GeneID,3,base,counterfactual,0.05,100
GeneID,3,vanilla,clean,0.19,100
GeneID,3,vanilla,distractor_5,0.99,100
GeneID,3,vanilla,hard_no_path,0.0,100
GeneID,3,vanilla,lexical_no_path,0.01,100
GeneID,3,vanilla,counterfactual,0.16,100
GeneID,3,robust,clean,0.43,100
GeneID,3,robust,distractor_5,0.99,100
GeneID,3,robust,hard_no_path,0.0,100
GeneID,3,robust,lexical_no_path,0.0,100
GeneID,3,robust,counterfactual,0.4,100
GeneID,3,abstain,clean,0.07,100
GeneID,3,abstain,distractor_5,0.91,100
GeneID,3,abstain,hard_no_path,1.0,100
GeneID,3,abstain,lexical_no_path,0.97,100
GeneID,3,abstain,counterfactual,0.05,100
DiseaseID,1,oracle,clean,1.0,100
DiseaseID,1,oracle,distractor_5,1.0,100
DiseaseID,1,oracle,hard_no_path,1.0,100
DiseaseID,1,oracle,lexical_no_path,1.0,100
DiseaseID,1,oracle,counterfactual,1.0,100
DiseaseID,1,base,clean,0.08,100
DiseaseID,1,base,distractor_5,0.07,100
DiseaseID,1,base,hard_no_path,1.0,100
DiseaseID,1,base,lexical_no_path,1.0,100
DiseaseID,1,base,counterfactual,0.06,100
DiseaseID,1,vanilla,clean,0.95,100
DiseaseID,1,vanilla,distractor_5,0.99,100
DiseaseID,1,vanilla,hard_no_path,0.0,100
DiseaseID,1,vanilla,lexical_no_path,0.0,100
DiseaseID,1,vanilla,counterfactual,0.94,100
DiseaseID,1,robust,clean,0.73,100
DiseaseID,1,robust,distractor_5,0.98,100
DiseaseID,1,robust,hard_no_path,0.05,100
DiseaseID,1,robust,lexical_no_path,0.03,100
DiseaseID,1,robust,counterfactual,0.72,100
DiseaseID,1,abstain,clean,0.6,100
DiseaseID,1,abstain,distractor_5,0.89,100
DiseaseID,1,abstain,hard_no_path,1.0,100
DiseaseID,1,abstain,lexical_no_path,0.96,100
DiseaseID,1,abstain,counterfactual,0.51,100
DiseaseID,2,oracle,clean,1.0,100
DiseaseID,2,oracle,distractor_5,1.0,100
DiseaseID,2,oracle,hard_no_path,1.0,100
DiseaseID,2,oracle,lexical_no_path,1.0,100
DiseaseID,2,oracle,counterfactual,1.0,100
DiseaseID,2,base,clean,0.0,100
DiseaseID,2,base,distractor_5,0.06,100
DiseaseID,2,base,hard_no_path,1.0,100
DiseaseID,2,base,lexical_no_path,1.0,100
DiseaseID,2,base,counterfactual,0.06,100
DiseaseID,2,vanilla,clean,1.0,100
DiseaseID,2,vanilla,distractor_5,0.95,100
DiseaseID,2,vanilla,hard_no_path,0.0,100
DiseaseID,2,vanilla,lexical_no_path,0.0,100
DiseaseID,2,vanilla,counterfactual,1.0,100
DiseaseID,2,robust,clean,0.61,100
DiseaseID,2,robust,distractor_5,0.96,100
DiseaseID,2,robust,hard_no_path,0.0,100
DiseaseID,2,robust,lexical_no_path,0.0,100
DiseaseID,2,robust,counterfactual,0.5,100
DiseaseID,2,abstain,clean,0.27,100
DiseaseID,2,abstain,distractor_5,0.87,100
DiseaseID,2,abstain,hard_no_path,1.0,100
DiseaseID,2,abstain,lexical_no_path,0.99,100
DiseaseID,2,abstain,counterfactual,0.15,100
DiseaseID,3,oracle,clean,1.0,100
DiseaseID,3,oracle,distractor_5,1.0,100
DiseaseID,3,oracle,hard_no_path,1.0,100
DiseaseID,3,oracle,lexical_no_path,1.0,100
DiseaseID,3,oracle,counterfactual,1.0,100
DiseaseID,3,base,clean,0.04,100
DiseaseID,3,base,distractor_5,0.02,100
DiseaseID,3,base,hard_no_path,1.0,100
DiseaseID,3,base,lexical_no_path,1.0,100
DiseaseID,3,base,counterfactual,0.04,100
DiseaseID,3,vanilla,clean,0.79,100
DiseaseID,3,vanilla,distractor_5,0.98,100
DiseaseID,3,vanilla,hard_no_path,0.0,100
DiseaseID,3,vanilla,lexical_no_path,0.0,100
DiseaseID,3,vanilla,counterfactual,0.94,100
DiseaseID,3,robust,clean,0.83,100
DiseaseID,3,robust,distractor_5,1.0,100
DiseaseID,3,robust,hard_no_path,0.0,100
DiseaseID,3,robust,lexical_no_path,0.0,100
DiseaseID,3,robust,counterfactual,0.76,100
DiseaseID,3,abstain,clean,0.12,100
DiseaseID,3,abstain,distractor_5,0.46,100
DiseaseID,3,abstain,hard_no_path,1.0,100
DiseaseID,3,abstain,lexical_no_path,1.0,100
DiseaseID,3,abstain,counterfactual,0.07,100
